±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
119,="050",="68000280",="000",="FFFF",="FFFF",="0048",="66CA",="66CA",="0049",="1601",="002F",="66CA",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
120,="000",="20080001",="001",="FFFF",="FFFF",="0049",="66CA",="0049",="0049",="1601",="002F",="66CA",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
121,="001",="00069002",="002",="0049",="2001",="0049",="2001",="0008",="004A",="1601",="002F",="66CA",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
122,="002",="CC000003",="003",="FFFF",="FFFF",="0049",="2001",="2001",="004A",="2001",="002F",="66CA",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
123,="003",="00000404",="005",="FFFF",="FFFF",="0049",="2001",="0008",="004A",="2001",="002F",="66CA",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
124,="005",="00000A08",="008",="FFFF",="FFFF",="0049",="2001",="0008",="004A",="2001",="002F",="66CA",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
125,="008",="50000006",="006",="FFFF",="FFFF",="0049",="2001",="66CA",="004A",="2001",="002F",="447B",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
126,="006",="00000A28",="028",="FFFF",="FFFF",="0049",="2001",="0008",="004A",="2001",="002F",="447B",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
127,="028",="54000007",="007",="FFFF",="FFFF",="0049",="2001",="66CA",="004A",="2001",="002F",="447B",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
128,="007",="00000800",="042",="FFFF",="FFFF",="0049",="2001",="0008",="004A",="2001",="002F",="447B",="66CA",="66CA",="66CA",="8",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
129,="042",="98700E50",="050",="FFFF",="FFFF",="0049",="2001",="447B",="004A",="2001",="002F",="447B",="66CA",="AB45",="AB45",="A",="447B",="66CA",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
130,="050",="68000280",="000",="FFFF",="FFFF",="0049",="2001",="AB45",="004A",="2001",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
131,="000",="20080001",="001",="FFFF",="FFFF",="004A",="2001",="004A",="004A",="2001",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
132,="001",="00069002",="002",="004A",="2040",="004A",="2040",="000A",="004B",="2001",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
133,="002",="CC000003",="003",="FFFF",="FFFF",="004A",="2040",="2040",="004B",="2040",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
134,="003",="00000404",="004",="FFFF",="FFFF",="004A",="2040",="000A",="004B",="2040",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
135,="004",="00000A08",="008",="FFFF",="FFFF",="004A",="2040",="000A",="004B",="2040",="002F",="447B",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
136,="008",="50000006",="006",="FFFF",="FFFF",="004A",="2040",="447B",="004B",="2040",="002F",="AB45",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
137,="006",="00000A28",="028",="FFFF",="FFFF",="004A",="2040",="000A",="004B",="2040",="002F",="AB45",="66CA",="66CA",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
138,="028",="54000007",="007",="FFFF",="FFFF",="004A",="2040",="447B",="004B",="2040",="002F",="AB45",="447B",="447B",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
139,="007",="00000800",="042",="FFFF",="FFFF",="004A",="2040",="000A",="004B",="2040",="002F",="AB45",="447B",="447B",="AB45",="A",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
140,="042",="98700E50",="050",="FFFF",="FFFF",="004A",="2040",="AB45",="004B",="2040",="002F",="AB45",="447B",="EFC0",="EFC0",="8",="447B",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
141,="050",="68000280",="000",="FFFF",="FFFF",="004A",="2040",="EFC0",="004B",="2040",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
142,="000",="20080001",="001",="FFFF",="FFFF",="004B",="2040",="004B",="004B",="2040",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
143,="001",="00069002",="002",="004B",="0002",="004B",="0002",="0008",="004C",="2040",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
144,="002",="CC000003",="003",="FFFF",="FFFF",="004B",="0002",="0002",="004C",="0002",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
145,="003",="00000404",="007",="FFFF",="FFFF",="004B",="0002",="0008",="004C",="0002",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
146,="007",="00000800",="05A",="FFFF",="FFFF",="004B",="0002",="0008",="004C",="0002",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
147,="05A",="E0080094",="094",="FFFF",="FFFF",="002F",="0002",="002F",="004C",="0002",="002F",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
148,="094",="02C61095",="095",="002F",="0034",="002F",="0034",="0008",="004C",="0002",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
149,="095",="C4000200",="000",="FFFF",="FFFF",="002F",="0034",="0034",="0034",="0002",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
150,="000",="20080001",="001",="FFFF",="FFFF",="0034",="0034",="0034",="0034",="0002",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
151,="001",="00069002",="002",="0034",="0000",="0034",="0000",="0008",="0035",="0002",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
152,="002",="CC000003",="003",="FFFF",="FFFF",="0034",="0000",="0000",="0035",="0000",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
153,="003",="00000404",="007",="FFFF",="FFFF",="0034",="0000",="0008",="0035",="0000",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
154,="007",="00000800",="058",="FFFF",="FFFF",="0034",="0000",="0008",="0035",="0000",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
155,="058",="00000058",="058",="FFFF",="FFFF",="0034",="0000",="0008",="0035",="0000",="0030",="AB45",="447B",="447B",="EFC0",="8",="EFC0",="AB45",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"